test_taker_id,speech_prompt,essay_prompt,L1
00001,P3,P4,HIN
00003,P4,P1,ARA
00005,P4,P1,HIN
00006,P6,P5,JPN
00007,P1,P2,HIN
00008,P1,P2,TUR
00009,P2,P3,SPA
00010,P2,P3,JPN
00011,P6,P5,GER
00013,P7,P6,JPN
00014,P7,P6,TEL
00015,P2,P3,KOR
00016,P2,P3,HIN
00018,P7,P6,JPN
00019,P1,P2,KOR
00020,P6,P5,ARA
00022,P8,P7,SPA
00023,P8,P7,GER
00024,P9,P0,ITA
00025,P2,P3,ARA
00026,P9,P0,CHI
00027,P9,P0,JPN
00028,P6,P5,ITA
00029,P2,P3,TUR
00031,P1,P2,TUR
00032,P9,P0,TUR
00033,P2,P3,JPN
00034,P1,P2,CHI
00035,P4,P1,ARA
00036,P3,P4,HIN
00037,P1,P2,FRE
00038,P6,P5,JPN
00039,P1,P2,TUR
00040,P1,P2,GER
00042,P8,P7,KOR
00043,P3,P4,JPN
00044,P3,P4,ARA
00046,P6,P5,JPN
00047,P6,P5,GER
00048,P4,P1,CHI
00049,P3,P4,CHI
00050,P2,P3,SPA
00051,P9,P0,TUR
00052,P9,P0,TUR
00053,P2,P3,KOR
00054,P9,P0,TUR
00055,P6,P5,KOR
00057,P9,P0,ARA
00059,P1,P2,CHI
00061,P2,P3,FRE
00062,P8,P7,ARA
00063,P3,P4,KOR
00064,P8,P7,TEL
00065,P7,P6,KOR
00066,P7,P6,ITA
00067,P3,P4,KOR
00068,P2,P3,SPA
00071,P8,P7,ARA
00072,P2,P3,CHI
00073,P4,P1,ARA
00075,P3,P4,SPA
00076,P1,P2,ITA
00077,P9,P0,SPA
00079,P1,P2,HIN
00080,P8,P7,KOR
00081,P4,P1,SPA
00082,P7,P6,CHI
00083,P1,P2,FRE
00084,P7,P6,JPN
00087,P2,P3,GER
00088,P6,P5,CHI
00089,P4,P1,ARA
00090,P6,P5,SPA
00091,P8,P7,CHI
00093,P1,P2,HIN
00094,P2,P3,FRE
00095,P8,P7,JPN
00096,P4,P1,GER
00097,P9,P0,ITA
00099,P1,P2,TEL
00100,P2,P3,ITA
00101,P3,P4,GER
00102,P1,P2,ARA
00103,P7,P6,GER
00104,P8,P7,HIN
00105,P6,P5,ITA
00106,P1,P2,KOR
00107,P7,P6,ARA
00109,P6,P5,ITA
00110,P4,P1,KOR
00111,P1,P2,ITA
00112,P2,P3,CHI
00113,P8,P7,HIN
00115,P4,P1,CHI
00116,P6,P5,FRE
00117,P4,P1,HIN
00118,P1,P2,ITA
00119,P1,P2,FRE
00120,P3,P4,TUR
00121,P2,P3,TUR
00122,P2,P3,ITA
00124,P3,P4,GER
00125,P7,P6,JPN
00126,P6,P5,FRE
00127,P3,P4,CHI
00128,P1,P2,TUR
00129,P3,P4,TEL
00130,P7,P6,GER
00131,P3,P4,HIN
00132,P3,P4,GER
00133,P3,P4,ITA
00134,P3,P4,TUR
00135,P6,P5,KOR
00137,P3,P4,KOR
00138,P2,P3,HIN
00142,P3,P4,GER
00143,P1,P2,ITA
00146,P4,P1,SPA
00147,P2,P3,ARA
00148,P4,P1,JPN
00149,P9,P0,ARA
00150,P3,P4,ITA
00151,P2,P3,CHI
00152,P3,P4,TEL
00153,P7,P6,ITA
00154,P4,P1,GER
00156,P4,P1,GER
00157,P7,P6,ITA
00159,P2,P3,CHI
